- VAL_TICKERS 지정 — 120개만 즉시 재수집
  · 005930 삼성전자: EPS=12536 BPS=71676 ROE=19.2 DPS=1668.0 성장=10.9
  · 000660 SK하이닉스: EPS=107463 BPS=232911 ROE=61.2 DPS=3000.0 성장=46.8
  · 402340 SK스퀘어: EPS=118136 BPS=273473 ROE=55.1 DPS=None 성장=-26.0
  · 009150 삼성전기: EPS=10873 BPS=129904 ROE=8.8 DPS=2350.0 성장=9.9
  · 005380 현대차: EPS=32909 BPS=455689 ROE=7.5 DPS=10000.0 성장=6.3
  · 207940 삼성바이오로직스: EPS=None BPS=171153 ROE=19.6 DPS=0.0 성장=0.2
  · 032830 삼성생명: EPS=15988 BPS=452297 ROE=5.2 DPS=None 성장=7.8
  · 028260 삼성물산: EPS=15586 BPS=380626 ROE=5.4 DPS=2800.0 성장=-3.2
  · 012450 한화에어로스페이스: EPS=30624 BPS=190951 ROE=22.7 DPS=7000.0 성장=137.6
  · 105560 KB금융: EPS=16146 BPS=161983 ROE=10.3 DPS=4367.0 성장=5.8
  · 000270 기아: EPS=18016 BPS=158616 ROE=11.9 DPS=6800.0 성장=6.2
  · 329180 HD현대중공업: EPS=19874 BPS=92561 ROE=24.6 DPS=5661.0 성장=21.4
  · 034020 두산에너빌리티: EPS=241 BPS=12509 ROE=2.0 DPS=None 성장=5.1
  · 055550 신한지주: EPS=10222 BPS=121095 ROE=8.8 DPS=2590.0 성장=8.0
  · 012330 현대모비스: EPS=39324 BPS=567403 ROE=7.2 DPS=6500.0 성장=6.8
  · 068270 셀트리온: EPS=5721 BPS=80812 ROE=7.3 DPS=None 성장=17.0
  · 034730 SK: EPS=None BPS=536976 ROE=9.3 DPS=8000.0 성장=-1.6
  · 006400 삼성SDI: EPS=-5856 BPS=287242 ROE=-1.9 DPS=1000.0 성장=-20.0
  · 086790 하나금융지주: EPS=14397 BPS=162017 ROE=9.2 DPS=4105.0 성장=6.9
  · 035420 NAVER: EPS=12117 BPS=195071 ROE=6.0 DPS=2630.0 성장=12.1
  · 066570 LG전자: EPS=5426 BPS=156982 ROE=4.1 DPS=1000.0 성장=1.7
  · 010120 LS ELECTRIC: EPS=None BPS=13787 ROE=87.2 DPS=None 성장=9.1
  · 267260 HD현대일렉트릭: EPS=21854 BPS=57779 ROE=43.9 DPS=5350.0 성장=22.8
  · 000810 삼성화재: EPS=None BPS=567996 ROE=10.3 DPS=19500.0 성장=7.9
  · 009540 HD한국조선해양: EPS=35597 BPS=191613 ROE=20.2 DPS=12300.0 성장=17.2
  · 316140 우리금융지주: EPS=4045 BPS=51776 ROE=8.7 DPS=1360.0 성장=None
  · 042700 한미반도체: EPS=1880 BPS=6715 ROE=30.8 DPS=800.0 성장=3.2
  · 096770 SK이노베이션: EPS=-14234 BPS=151288 ROE=-9.8 DPS=2000.0 성장=7.5
  · 015760 한국전력: EPS=13567 BPS=78291 ROE=18.9 DPS=1542.0 성장=4.3
  · 006800 미래에셋증권: EPS=None BPS=24100 ROE=17.6 DPS=300.0 성장=31.7
  · 000150 두산: EPS=None BPS=136276 ROE=5.6 DPS=4000.0 성장=9.1
  · 051910 LG화학: EPS=-26319 BPS=445402 ROE=-6.1 DPS=2000.0 성장=-6.1
  · 010140 삼성중공업: EPS=632 BPS=5287 ROE=13.3 DPS=None 성장=7.5
  · 138040 메리츠금융지주: EPS=13476 BPS=63039 ROE=23.1 DPS=None 성장=None
  · 018260 삼성에스디에스: EPS=8279 BPS=128208 ROE=6.6 DPS=3190.0 성장=0.7
  · 267250 HD현대: EPS=21576 BPS=154648 ROE=15.1 DPS=4000.0 성장=5.2
  · 033780 KT&G: EPS=11516 BPS=89373 ROE=13.2 DPS=6000.0 성장=11.4
  · 003550 LG: EPS=3159 BPS=190716 ROE=1.7 DPS=3100.0 성장=1.1
  · 079550 LIG디펜스앤에어로스페이스: EPS=14145 BPS=71390 ROE=21.0 DPS=2950.0 성장=31.5
  · 035720 카카오: EPS=1109 BPS=25935 ROE=4.5 DPS=75.0 성장=2.9
  · 196170 알테오젠: EPS=2432 BPS=9415 ROE=29.9 DPS=371.0 성장=109.9
  · 024110 기업은행: EPS=3099 BPS=46146 ROE=7.5 DPS=1048.0 성장=25.3
  · 064350 현대로템: EPS=7449 BPS=29498 ROE=30.1 DPS=600.0 성장=33.4
  · 086280 현대글로비스: EPS=22348 BPS=138531 ROE=17.3 DPS=5800.0 성장=4.1
  · 278470 에이피알: EPS=9546 BPS=13530 ROE=83.8 DPS=5090.0 성장=111.3
  · 047810 한국항공우주: EPS=2030 BPS=19126 ROE=11.2 DPS=500.0 성장=1.7
  · 030200 KT: EPS=6383 BPS=75384 ROE=8.9 DPS=2400.0 성장=6.9
  · 307950 현대오토에버: EPS=6593 BPS=66401 ROE=10.3 DPS=1900.0 성장=14.5
  · 000720 현대건설: EPS=3791 BPS=81226 ROE=4.9 DPS=800.0 성장=-4.9
  · 086520 에코프로: EPS=444 BPS=16161 ROE=3.2 DPS=150.0 성장=9.1
  · 005830 DB손해보험: EPS=None BPS=182285 ROE=16.3 DPS=7600.0 성장=4.7
  · 247540 에코프로비엠: EPS=586 BPS=18296 ROE=3.1 DPS=100.0 성장=-8.5
  · 071050 한국금융지주: EPS=42408 BPS=218519 ROE=21.9 DPS=8690.0 성장=None
  · 259960 크래프톤: EPS=19970 BPS=166337 ROE=12.1 DPS=2240.0 성장=22.8
  · 078930 GS: EPS=13911 BPS=161282 ROE=9.0 DPS=3000.0 성장=-0.4
  ✅ 삼성에피스홀딩스 검증 통과 PER None PBR None EPS None BPS None
  · 0126Z0 삼성에피스홀딩스: EPS=None BPS=None ROE=None DPS=None 성장=None
  · 005940 NH투자증권: EPS=3550 BPS=26550 ROE=14.5 DPS=1300.0 성장=None
  · 006260 LS: EPS=None BPS=184932 ROE=6.8 DPS=None 성장=15.7
  · 028050 삼성E&A: EPS=3176 BPS=24513 ROE=13.7 DPS=790.0 성장=-9.4
  · 277810 레인보우로보틱스: EPS=63 BPS=6920 ROE=0.9 DPS=None 성장=76.4
  · 003490 대한항공: EPS=1688 BPS=None ROE=5.8 DPS=750.0 성장=41.2
  · 003230 삼양식품: EPS=58062 BPS=184343 ROE=38.0 DPS=4800.0 성장=36.1
  · 047050 포스코인터내셔널: EPS=3988 BPS=39555 ROE=10.3 DPS=1850.0 성장=0.1
  · 161390 한국타이어앤테크놀로지: EPS=9148 BPS=104293 ROE=8.4 DPS=2300.0 성장=125.3
  · 443060 HD현대마린솔루션: EPS=6790 BPS=18893 ROE=39.0 DPS=3950.0 성장=13.6
  · 016360 삼성증권: EPS=13546 BPS=91468 ROE=15.7 DPS=4000.0 성장=None
  · 036930 주성엔지니어링: EPS=148 BPS=12810 ROE=1.2 DPS=53.0 성장=-24.1
  · 180640 한진칼: EPS=2483 BPS=50811 ROE=5.0 DPS=360.0 성장=2.1
  · 009830 한화솔루션: EPS=-3572 BPS=54766 ROE=-6.6 DPS=300.0 성장=7.6
  · 090430 아모레퍼시픽: EPS=3383 BPS=None ROE=4.3 DPS=1240.0 성장=9.5
  · 064400 LG씨엔에스: EPS=4778 BPS=30191 ROE=16.6 DPS=1850.0 성장=2.5
  · 352820 하이브: EPS=-10836 BPS=77313 ROE=-13.6 DPS=500.0 성장=17.5
  · 047040 대우건설: EPS=-1883 BPS=8745 ROE=-19.5 DPS=None 성장=-23.3
  · 007660 이수페타시스: EPS=2359 BPS=10846 ROE=29.9 DPS=150.0 성장=30.0
  · 021240 코웨이: EPS=9278 BPS=52258 ROE=19.3 DPS=1957.0 성장=15.2
  · 326030 SK바이오팜: EPS=4454 BPS=12184 ROE=44.9 DPS=None 성장=29.1
  · 000100 유한양행: EPS=2843 BPS=None ROE=9.1 DPS=600.0 성장=5.7
  · 267270 HD건설기계: EPS=None BPS=98068 ROE=11.6 DPS=500.0 성장=9.8
  · 032640 LG유플러스: EPS=1252 BPS=20858 ROE=6.0 DPS=None 성장=5.7
  · 377300 카카오페이: EPS=447 BPS=14308 ROE=3.2 DPS=0.0 성장=25.1
  · 000880 한화: EPS=4704 BPS=None ROE=3.0 DPS=1100.0 성장=34.4
  · 001440 대한전선: EPS=262 BPS=9252 ROE=3.2 DPS=None 성장=10.5
  · 028300 HLB: EPS=-1476 BPS=3122 ROE=-41.8 DPS=0.0 성장=23.6
  · 240810 원익IPS: EPS=2277 BPS=20172 ROE=11.9 DPS=200.0 성장=21.6
  · 029780 삼성카드: EPS=5790 BPS=82033 ROE=7.2 DPS=2800.0 성장=None
  · 062040 산일전기: EPS=5379 BPS=19513 ROE=31.2 DPS=1250.0 성장=50.3
  · 036570 NC: EPS=23601 BPS=181809 ROE=14.0 DPS=1150.0 성장=-4.5
  · 271560 오리온: EPS=10192 BPS=98607 ROE=10.9 DPS=3500.0 성장=7.3
  · 175330 JB금융지주: EPS=3656 BPS=30545 ROE=12.4 DPS=1140.0 성장=None
  · 454910 두산로보틱스: EPS=-852 BPS=5247 ROE=-15.0 DPS=None 성장=-29.6
  · 128940 한미약품: EPS=13598 BPS=102474 ROE=14.3 DPS=2000.0 성장=3.5
  · 039030 이오테크닉스: EPS=6008 BPS=57385 ROE=11.3 DPS=500.0 성장=18.7
  · 138930 BNK금융지주: EPS=2676 BPS=33837 ROE=8.1 DPS=735.0 성장=None
  · 051900 LG생활건강: EPS=-6823 BPS=331987 ROE=-1.8 DPS=2000.0 성장=-6.7
  · 087010 펩트론: EPS=-715 BPS=5852 ROE=-11.7 DPS=0.0 성장=78.8
  · 000990 DB하이텍: EPS=7240 BPS=54439 ROE=14.2 DPS=810.0 성장=23.5
  · 011790 SKC: EPS=-18221 BPS=22048 ROE=-70.3 DPS=0.0 성장=6.9
  · 000250 삼천당제약: EPS=438 BPS=12752 ROE=3.7 DPS=50.0 성장=9.9
  · 141080 리가켐바이오: EPS=-3796 BPS=12646 ROE=-28.9 DPS=0.0 성장=12.4
  · 214450 파마리서치: EPS=15696 BPS=62183 ROE=28.0 DPS=3700.0 성장=53.2
  · 108490 로보티즈: EPS=-393 BPS=24438 ROE=-2.7 DPS=0.0 성장=29.6
  · 082740 한화엔진: EPS=2470 BPS=7282 ROE=40.5 DPS=0.0 성장=14.0
  · 004170 신세계: EPS=8737 BPS=535458 ROE=1.7 DPS=5200.0 성장=5.5
  · 001040 CJ: EPS=4453 BPS=182979 ROE=2.8 DPS=3300.0 성장=3.1
  · 002380 KCC: EPS=None BPS=1101373 ROE=23.8 DPS=15000.0 성장=-2.6
  · 004020 현대제철: EPS=55 BPS=153213 ROE=0.0 DPS=500.0 성장=-2.1
  · 001450 현대해상: EPS=13421 BPS=71316 ROE=21.9 DPS=0.0 성장=3.1
  · 052690 한전기술: EPS=883 BPS=15482 ROE=5.6 DPS=1347.0 성장=-6.3
  · 111770 영원무역: EPS=13005 BPS=101068 ROE=12.7 DPS=2100.0 성장=15.5
  · 007340 DN오토모티브: EPS=5640 BPS=41249 ROE=14.8 DPS=1000.0 성장=7.0
  · 036460 한국가스공사: EPS=3535 BPS=129944 ROE=2.8 DPS=1154.0 성장=-6.9
  · 214370 케어젠: EPS=478 BPS=4382 ROE=11.0 DPS=437.0 성장=-11.8
  · 403870 HPSP: EPS=1018 BPS=3631 ROE=30.5 DPS=500.0 성장=-4.7
  · 310210 보로노이: EPS=-2791 BPS=5017 ROE=-69.9 DPS=0.0 성장=None
  · 011780 금호석유화학: EPS=10258 BPS=250925 ROE=4.2 DPS=1700.0 성장=-3.4
  · 161890 한국콜마: EPS=6652 BPS=39675 ROE=18.2 DPS=864.0 성장=11.0
  · 145020 휴젤: EPS=13994 BPS=92891 ROE=16.4 DPS=0.0 성장=14.0
  · 251270 넷마블: EPS=4383 BPS=70256 ROE=6.4 DPS=876.0 성장=6.4
  · 031210 서울보증보험: EPS=4390 BPS=71357 ROE=6.1 DPS=2865.0 성장=None
  · 035250 강원랜드: EPS=1400 BPS=19066 ROE=7.6 DPS=950.0 성장=3.5

✅ 밸류에이션 수집 — 이번 120건 신규 / 건너뜀 0 / 보유 2698/2685개 / 갱신필요 0개
- VALUATION_COMPLETE 전 종목 최신 — 추가 수집 없음
